"Jahr","AlterLang","AlterSort","GeschlechtLang","GeschlechtSort","ErwerbstatusLang","ErwerbstatusSort","WgtFreq","LowerCLWgtFreq","UpperCLWgtFreq","RowPercent","RowLowerCL","RowUpperCL"
"2011/2012","Total",0,"Total",0,"Total",0,327500,324100,331000,100,_,_
"2011/2012","Total",0,"Total",0,"Vollzeiterwerbstätige (>= 90%)",1,114100,110800,117500,34.8484148455251,33.9309251367496,35.7659045543005
"2011/2012","Total",0,"Total",0,"Teilzeiterwerbstätige (50-89%)",2,47400,45300,49500,14.4741178478455,13.8322117163821,15.116023979309
"2011/2012","Total",0,"Total",0,"Teilzeiterwerbstätige (< 50%)",3,20400,19000,21900,6.2310954792927,5.7887933315275,6.6733976270579
"2011/2012","Total",0,"Total",0,"Selbstständige",4,29000,27300,30700,8.855865115201,8.34344338729088,9.36828684311113
"2011/2012","Total",0,"Total",0,"Lehrlinge",5,5900,5000,6900,1.81498418543524,1.52519068026449,2.10477769060598
"2011/2012","Total",0,"Total",0,"Erwerbslose",6,10500,9200,11700,3.19871233567185,2.8281162949429,3.56930837640081
"2011/2012","Total",0,"Total",0,"In Ausbildung",7,13200,11500,15000,4.04196299007652,3.52484104954807,4.55908493060498
"2011/2012","Total",0,"Total",0,"Haushaltsführende Personen",8,11100,9900,12300,3.37797760061218,3.01782398806317,3.73813121316119
"2011/2012","Total",0,"Total",0,"Rentner*innen",9,68600,66600,70600,20.943480017892,20.2859170053362,21.6010430304478
"2011/2012","Total",0,"Total",0,"Andere Nichterwerbspersonen",10,7200,6300,8200,2.21338958244777,1.92247242381262,2.50430674108292
"2011/2012","Total",0,"Maenner",1,"Total",0,160500,156600,164400,100,_,_
"2011/2012","Total",0,"Maenner",1,"Vollzeiterwerbstätige (>= 90%)",1,75400,72400,78300,46.9508084012472,45.5140869365075,48.3875298659869
"2011/2012","Total",0,"Maenner",1,"Teilzeiterwerbstätige (50-89%)",2,14300,13000,15700,8.93265313087735,8.12098713476511,9.74431912698959
"2011/2012","Total",0,"Maenner",1,"Teilzeiterwerbstätige (< 50%)",3,5300,4500,6100,3.32974005301281,2.83302085331899,3.82645925270663
"2011/2012","Total",0,"Maenner",1,"Selbstständige",4,19500,18000,20900,12.1218170023082,11.2372905486248,13.0063434559916
"2011/2012","Total",0,"Maenner",1,"Lehrlinge",5,3800,3000,4600,2.36421822008279,1.87573374865758,2.852702691508
"2011/2012","Total",0,"Maenner",1,"Erwerbslose",6,5500,4600,6400,3.43331177324727,2.87078161378845,3.99584193270608
"2011/2012","Total",0,"Maenner",1,"In Ausbildung",7,5900,4600,7200,3.68420599344088,2.90436499875859,4.46404698812318
"2011/2012","Total",0,"Maenner",1,"Haushaltsführende Personen",8,1300,800,1900,0.82044394352962,0.48620900149129,1.15467888556794
"2011/2012","Total",0,"Maenner",1,"Rentner*innen",9,26400,24900,27800,16.4398856139161,15.5381685182435,17.3416027095886
"2011/2012","Total",0,"Maenner",1,"Andere Nichterwerbspersonen",10,3100,2400,3800,1.92291586833765,1.48625851109948,2.35957322557581
"2011/2012","Total",0,"Frauen",2,"Total",0,167000,163900,170200,100,_,_
"2011/2012","Total",0,"Frauen",2,"Vollzeiterwerbstätige (>= 90%)",1,38800,36800,40800,23.2195820276509,22.1502965498174,24.2888675054845
"2011/2012","Total",0,"Frauen",2,"Teilzeiterwerbstätige (50-89%)",2,33100,31300,34800,19.7987477620085,18.8309863910793,20.7665091329378
"2011/2012","Total",0,"Frauen",2,"Teilzeiterwerbstätige (< 50%)",3,15100,13800,16300,9.01892228744408,8.30414509149539,9.73369948339277
"2011/2012","Total",0,"Frauen",2,"Selbstständige",4,9600,8700,10400,5.71770832732877,5.19066688525905,6.24474976939849
"2011/2012","Total",0,"Frauen",2,"Lehrlinge",5,2200,1600,2700,1.28724140981024,0.96791497171099,1.60656784790949
"2011/2012","Total",0,"Frauen",2,"Erwerbslose",6,5000,4100,5800,2.97329265929371,2.48754443688224,3.45904088170517
"2011/2012","Total",0,"Frauen",2,"In Ausbildung",7,7300,6200,8500,4.38572113049277,3.70221881390829,5.06922344707725
"2011/2012","Total",0,"Frauen",2,"Haushaltsführende Personen",8,9700,8700,10800,5.8354362171548,5.21417696773312,6.45669546657648
"2011/2012","Total",0,"Frauen",2,"Rentner*innen",9,42200,40700,43800,25.2708509765556,24.3285897168984,26.2131122362127
"2011/2012","Total",0,"Frauen",2,"Andere Nichterwerbspersonen",10,4200,3500,4800,2.49249720226043,2.10592875549383,2.87906564902702
"2011/2012","15-24 Jahre",1,"Total",0,"Total",0,31100,28700,33600,100,_,_
"2011/2012","15-24 Jahre",1,"Total",0,"Vollzeiterwerbstätige (>= 90%)",1,7600,6400,8800,24.4338364146978,21.0345837371328,27.8330890922629
"2011/2012","15-24 Jahre",1,"Total",0,"Teilzeiterwerbstätige (50-89%)",2,1500,1000,2000,4.7659495085755,3.15281611376459,6.37908290338641
"2011/2012","15-24 Jahre",1,"Total",0,"Teilzeiterwerbstätige (< 50%)",3,2700,2000,3400,8.65912819030402,6.4601920210571,10.8580643595509
"2011/2012","15-24 Jahre",1,"Total",0,"Selbstständige",4,300,100,500,0.97497045955725,0.4553824702608,1.49455844885371
"2011/2012","15-24 Jahre",1,"Total",0,"Lehrlinge",5,5500,4600,6400,17.559448230237,14.8397872552051,20.2791092052689
"2011/2012","15-24 Jahre",1,"Total",0,"Erwerbslose",6,1900,1200,2500,5.97681851328475,3.9267536836207,8.0268833429488
"2011/2012","15-24 Jahre",1,"Total",0,"In Ausbildung",7,10200,8600,11700,32.6352059913551,28.6641673066269,36.6062446760833
"2011/2012","15-24 Jahre",1,"Total",0,"Haushaltsführende Personen",8,700,200,1100,2.09179305685525,0.76434804890992,3.41923806480058
"2011/2012","15-24 Jahre",1,"Total",0,"Rentner*innen",9,100,0,300,0.38912600798547,0,0.83138935168246
"2011/2012","15-24 Jahre",1,"Total",0,"Andere Nichterwerbspersonen",10,800,400,1200,2.51372362714771,1.18271102774283,3.84473622655259
"2011/2012","15-24 Jahre",1,"Maenner",1,"Total",0,15100,13300,16900,100,_,_
"2011/2012","15-24 Jahre",1,"Maenner",1,"Vollzeiterwerbstätige (>= 90%)",1,4200,3300,5100,27.9006171844934,22.6263390947723,33.1748952742145
"2011/2012","15-24 Jahre",1,"Maenner",1,"Teilzeiterwerbstätige (50-89%)",2,400,100,600,2.3598841093817,0.71401895649881,4.00574926226459
"2011/2012","15-24 Jahre",1,"Maenner",1,"Teilzeiterwerbstätige (< 50%)",3,800,400,1100,5.12483242821162,2.83181637077733,7.41784848564591
"2011/2012","15-24 Jahre",1,"Maenner",1,"Selbstständige",4,200,100,400,1.59616325799288,0.63091389874141,2.56141261724435
"2011/2012","15-24 Jahre",1,"Maenner",1,"Lehrlinge",5,3300,2600,4100,22.1617165896012,17.7015369201142,26.6218962590882
"2011/2012","15-24 Jahre",1,"Maenner",1,"Erwerbslose",6,700,300,1200,4.95772081924951,2.36735426970721,7.5480873687918
"2011/2012","15-24 Jahre",1,"Maenner",1,"In Ausbildung",7,4800,3600,6000,31.5281764086537,25.3168599831194,37.7394928341881
"2011/2012","15-24 Jahre",1,"Maenner",1,"Haushaltsführende Personen",8,0,0,0,0.06863586716697,0,0.20333952842834
"2011/2012","15-24 Jahre",1,"Maenner",1,"Rentner*innen",9,0,0,100,0.25928356160767,0,0.76718067364981
"2011/2012","15-24 Jahre",1,"Maenner",1,"Andere Nichterwerbspersonen",10,600,200,1000,4.04296977364109,1.58885680593878,6.4970827413434
"2011/2012","15-24 Jahre",1,"Frauen",2,"Total",0,16000,14300,17700,100,_,_
"2011/2012","15-24 Jahre",1,"Frauen",2,"Vollzeiterwerbstätige (>= 90%)",1,3400,2600,4200,21.1638312316609,16.8273895153892,25.5002729479326
"2011/2012","15-24 Jahre",1,"Frauen",2,"Teilzeiterwerbstätige (50-89%)",2,1100,700,1600,7.03544586514879,4.34006601259933,9.73082571769824
"2011/2012","15-24 Jahre",1,"Frauen",2,"Teilzeiterwerbstätige (< 50%)",3,1900,1300,2500,11.9928161930527,8.37661816277,15.6090142233354
"2011/2012","15-24 Jahre",1,"Frauen",2,"Selbstständige",4,100,0,100,0.38903676330294,0,0.82982287699589
"2011/2012","15-24 Jahre",1,"Frauen",2,"Lehrlinge",5,2100,1600,2700,13.2184060968646,10.0265578442845,16.4102543494448
"2011/2012","15-24 Jahre",1,"Frauen",2,"Erwerbslose",6,1100,600,1600,6.93807189583212,3.80458710739674,10.0715566842675
"2011/2012","15-24 Jahre",1,"Frauen",2,"In Ausbildung",7,5400,4400,6400,33.679400220407,28.6228965728162,38.7359038679977
"2011/2012","15-24 Jahre",1,"Frauen",2,"Haushaltsführende Personen",8,600,200,1100,4.00011519652407,1.45939455815551,6.54083583489263
"2011/2012","15-24 Jahre",1,"Frauen",2,"Rentner*innen",9,100,0,200,0.51159855552375,0,1.22477268495189
"2011/2012","15-24 Jahre",1,"Frauen",2,"Andere Nichterwerbspersonen",10,200,0,400,1.07127798168296,0,2.19779787452358
"2011/2012","25-39 Jahre",2,"Total",0,"Total",0,107300,103700,110900,100,_,_
"2011/2012","25-39 Jahre",2,"Total",0,"Vollzeiterwerbstätige (>= 90%)",1,60100,57200,62900,56.017064053105,54.1984643226028,57.8356637836072
"2011/2012","25-39 Jahre",2,"Total",0,"Teilzeiterwerbstätige (50-89%)",2,19800,18300,21400,18.4998762614916,17.1254853787921,19.874267144191
"2011/2012","25-39 Jahre",2,"Total",0,"Teilzeiterwerbstätige (< 50%)",3,7200,6300,8100,6.69355202185659,5.85263311766408,7.53447092604909
"2011/2012","25-39 Jahre",2,"Total",0,"Selbstständige",4,6300,5400,7200,5.87939801506741,5.04987728184375,6.70891874829108
"2011/2012","25-39 Jahre",2,"Total",0,"Lehrlinge",5,500,100,800,0.44533144775247,0.12693643163941,0.76372646386553
"2011/2012","25-39 Jahre",2,"Total",0,"Erwerbslose",6,3900,3100,4700,3.64074935803558,2.93881855227936,4.3426801637918
"2011/2012","25-39 Jahre",2,"Total",0,"In Ausbildung",7,2600,1900,3300,2.40962900425891,1.74185164398567,3.07740636453216
"2011/2012","25-39 Jahre",2,"Total",0,"Haushaltsführende Personen",8,4200,3400,4900,3.89340127928846,3.20957270356688,4.57722985501004
"2011/2012","25-39 Jahre",2,"Total",0,"Rentner*innen",9,1000,500,1500,0.96936322918788,0.5059995894485,1.43272686892726
"2011/2012","25-39 Jahre",2,"Total",0,"Andere Nichterwerbspersonen",10,1700,1200,2200,1.55163532995599,1.09322267831664,2.01004798159534
"2011/2012","25-39 Jahre",2,"Maenner",1,"Total",0,55600,52700,58500,100,_,_
"2011/2012","25-39 Jahre",2,"Maenner",1,"Vollzeiterwerbstätige (>= 90%)",1,38500,36100,40900,69.2484909263745,66.7376874804959,71.7592943722531
"2011/2012","25-39 Jahre",2,"Maenner",1,"Teilzeiterwerbstätige (50-89%)",2,6500,5400,7500,11.6529041739566,9.90409214271661,13.4017162051966
"2011/2012","25-39 Jahre",2,"Maenner",1,"Teilzeiterwerbstätige (< 50%)",3,1700,1200,2200,3.04040229573093,2.15249450907765,3.9283100823842
"2011/2012","25-39 Jahre",2,"Maenner",1,"Selbstständige",4,4300,3500,5000,7.64575256632023,6.30447688015324,8.98702825248722
"2011/2012","25-39 Jahre",2,"Maenner",1,"Lehrlinge",5,400,100,800,0.80117986429437,0.19877445065183,1.40358527793692
"2011/2012","25-39 Jahre",2,"Maenner",1,"Erwerbslose",6,2000,1400,2600,3.56248589456871,2.54290380400066,4.58206798513676
"2011/2012","25-39 Jahre",2,"Maenner",1,"In Ausbildung",7,1000,600,1400,1.78562201204062,1.07139200770958,2.49985201637166
"2011/2012","25-39 Jahre",2,"Maenner",1,"Haushaltsführende Personen",8,100,0,300,0.2590166332222,0,0.5385136817827
"2011/2012","25-39 Jahre",2,"Maenner",1,"Rentner*innen",9,600,200,1000,1.08727591644887,0.32068538777423,1.85386644512352
"2011/2012","25-39 Jahre",2,"Maenner",1,"Andere Nichterwerbspersonen",10,500,200,800,0.91686971704285,0.39429710339396,1.43944233069174
"2011/2012","25-39 Jahre",2,"Frauen",2,"Total",0,51700,49300,54100,100,_,_
"2011/2012","25-39 Jahre",2,"Frauen",2,"Vollzeiterwerbstätige (>= 90%)",1,21600,20000,23200,41.7848724153793,39.3679981107374,44.2017467200212
"2011/2012","25-39 Jahre",2,"Frauen",2,"Teilzeiterwerbstätige (50-89%)",2,13400,12100,14600,25.8647220805637,23.7711225671194,27.9583215940079
"2011/2012","25-39 Jahre",2,"Frauen",2,"Teilzeiterwerbstätige (< 50%)",3,5500,4700,6300,10.6230093269158,9.18562436046594,12.0603942933656
"2011/2012","25-39 Jahre",2,"Frauen",2,"Selbstständige",4,2100,1600,2500,3.97944446399683,3.04358043588581,4.91530849210786
"2011/2012","25-39 Jahre",2,"Frauen",2,"Lehrlinge",5,0,0,100,0.06256828043021,0,0.18517472597479
"2011/2012","25-39 Jahre",2,"Frauen",2,"Erwerbslose",6,1900,1400,2400,3.72493231282657,2.76583473025395,4.68402989539918
"2011/2012","25-39 Jahre",2,"Frauen",2,"In Ausbildung",7,1600,1000,2200,3.08083303853229,1.93199843644844,4.22966764061613
"2011/2012","25-39 Jahre",2,"Frauen",2,"Haushaltsführende Personen",8,4000,3300,4800,7.80267419924239,6.44875638031755,9.15659201816723
"2011/2012","25-39 Jahre",2,"Frauen",2,"Rentner*innen",9,400,200,700,0.84253216420214,0.34820087520902,1.33686345319526
