"StichtagDatJahr","QuarSort","QuarCd","QuarLang","SteuerTarifSort","SteuerTarifCd","SteuerTarifLang","SteuerEinkommen_p50","SteuerEinkommen_p25","SteuerEinkommen_p75"
1999,11,"011","Rathaus",0,"00","Grundtarif",39.9,18.7,65.2
1999,11,"011","Rathaus",1,"01","Verheiratetentarif",80.4,48.1,128
1999,11,"011","Rathaus",2,"02","Einelternfamilientarif",44.6,25,87.5
1999,12,"012","Hochschulen",0,"00","Grundtarif",31.05,12.4,55.2
1999,12,"012","Hochschulen",1,"01","Verheiratetentarif",89.2,52,178.7
1999,12,"012","Hochschulen",2,"02","Einelternfamilientarif",,,
1999,13,"013","Lindenhof",0,"00","Grundtarif",43.7,20,76
1999,13,"013","Lindenhof",1,"01","Verheiratetentarif",106.7,72.3,162
1999,13,"013","Lindenhof",2,"02","Einelternfamilientarif",,,
1999,14,"014","City",0,"00","Grundtarif",31.3,13.9,61.4
1999,14,"014","City",1,"01","Verheiratetentarif",69.8,43.3,95
1999,14,"014","City",2,"02","Einelternfamilientarif",,,
1999,21,"021","Wollishofen",0,"00","Grundtarif",36.85,19.8,55.4
1999,21,"021","Wollishofen",1,"01","Verheiratetentarif",67.8,48.4,94.95
1999,21,"021","Wollishofen",2,"02","Einelternfamilientarif",38.6,21.75,57.75
1999,23,"023","Leimbach",0,"00","Grundtarif",33.3,19.1,50.55
1999,23,"023","Leimbach",1,"01","Verheiratetentarif",66.2,47.55,91.4
1999,23,"023","Leimbach",2,"02","Einelternfamilientarif",41.7,24.65,57.2
1999,24,"024","Enge",0,"00","Grundtarif",43.4,20.5,67.7
1999,24,"024","Enge",1,"01","Verheiratetentarif",80.6,53,131.4
1999,24,"024","Enge",2,"02","Einelternfamilientarif",39.7,20.1,72
1999,31,"031","Alt-Wiedikon",0,"00","Grundtarif",36.8,20.4,55
1999,31,"031","Alt-Wiedikon",1,"01","Verheiratetentarif",62.1,40,90
1999,31,"031","Alt-Wiedikon",2,"02","Einelternfamilientarif",35.6,22.9,50
1999,33,"033","Friesenberg",0,"00","Grundtarif",26.5,12.2,43.4
1999,33,"033","Friesenberg",1,"01","Verheiratetentarif",61.5,46.1,79.9
1999,33,"033","Friesenberg",2,"02","Einelternfamilientarif",35.15,19.55,46.75
1999,34,"034","Sihlfeld",0,"00","Grundtarif",32.3,17.4,49.25
1999,34,"034","Sihlfeld",1,"01","Verheiratetentarif",55.1,37,74.2
1999,34,"034","Sihlfeld",2,"02","Einelternfamilientarif",30.4,15.1,43.4
1999,41,"041","Werd",0,"00","Grundtarif",33.3,15.7,53.1
1999,41,"041","Werd",1,"01","Verheiratetentarif",54.4,34,76.4
1999,41,"041","Werd",2,"02","Einelternfamilientarif",30.9,9.8,55.35
1999,42,"042","Langstrasse",0,"00","Grundtarif",29.4,13.8,48.1
1999,42,"042","Langstrasse",1,"01","Verheiratetentarif",51.45,33.4,73.1
1999,42,"042","Langstrasse",2,"02","Einelternfamilientarif",30.05,15.8,46
1999,44,"044","Hard",0,"00","Grundtarif",27.2,15,41.85
1999,44,"044","Hard",1,"01","Verheiratetentarif",51.5,35.8,69
1999,44,"044","Hard",2,"02","Einelternfamilientarif",30.1,13.7,42.6
1999,51,"051","Gewerbeschule",0,"00","Grundtarif",32.1,16.1,48.7
1999,51,"051","Gewerbeschule",1,"01","Verheiratetentarif",54,37.7,72.9
1999,51,"051","Gewerbeschule",2,"02","Einelternfamilientarif",30.25,16.7,46
1999,52,"052","Escher Wyss",0,"00","Grundtarif",35.5,18.2,56.8
1999,52,"052","Escher Wyss",1,"01","Verheiratetentarif",55.45,34.9,77.9
1999,52,"052","Escher Wyss",2,"02","Einelternfamilientarif",39.85,18.65,70.6
1999,61,"061","Unterstrass",0,"00","Grundtarif",36.8,19.5,56.8
1999,61,"061","Unterstrass",1,"01","Verheiratetentarif",63.8,45.6,89.85
1999,61,"061","Unterstrass",2,"02","Einelternfamilientarif",34.2,19.9,50
1999,63,"063","Oberstrass",0,"00","Grundtarif",41.55,19.6,66.5
1999,63,"063","Oberstrass",1,"01","Verheiratetentarif",91,58.7,149
1999,63,"063","Oberstrass",2,"02","Einelternfamilientarif",49,30.4,93.3
1999,71,"071","Fluntern",0,"00","Grundtarif",46.4,17.1,77.6
1999,71,"071","Fluntern",1,"01","Verheiratetentarif",113.3,70.4,199.8
1999,71,"071","Fluntern",2,"02","Einelternfamilientarif",50.3,31.2,89.1
1999,72,"072","Hottingen",0,"00","Grundtarif",41.1,18.2,66.1
1999,72,"072","Hottingen",1,"01","Verheiratetentarif",93.8,58.35,153.55
1999,72,"072","Hottingen",2,"02","Einelternfamilientarif",46.1,20.9,74.9
1999,73,"073","Hirslanden",0,"00","Grundtarif",38.9,18.1,61
1999,73,"073","Hirslanden",1,"01","Verheiratetentarif",79.5,50.1,135.6
1999,73,"073","Hirslanden",2,"02","Einelternfamilientarif",44.6,27.3,67
1999,74,"074","Witikon",0,"00","Grundtarif",42.6,20,64.7
1999,74,"074","Witikon",1,"01","Verheiratetentarif",85.2,57.3,129.1
1999,74,"074","Witikon",2,"02","Einelternfamilientarif",43.7,26.5,70.7
1999,81,"081","Seefeld",0,"00","Grundtarif",42.2,21.2,65.4
1999,81,"081","Seefeld",1,"01","Verheiratetentarif",75.8,47,120.8
1999,81,"081","Seefeld",2,"02","Einelternfamilientarif",36.5,19.5,55
1999,82,"082","Mühlebach",0,"00","Grundtarif",40.2,20.3,62
1999,82,"082","Mühlebach",1,"01","Verheiratetentarif",77.5,50.5,115.7
1999,82,"082","Mühlebach",2,"02","Einelternfamilientarif",47.1,25.3,63.5
1999,83,"083","Weinegg",0,"00","Grundtarif",40,17.5,60.9
1999,83,"083","Weinegg",1,"01","Verheiratetentarif",78.75,55.4,127.4
1999,83,"083","Weinegg",2,"02","Einelternfamilientarif",41.1,27.1,61.5
1999,91,"091","Albisrieden",0,"00","Grundtarif",34.9,20,51
1999,91,"091","Albisrieden",1,"01","Verheiratetentarif",61,45.6,83.9
1999,91,"091","Albisrieden",2,"02","Einelternfamilientarif",35.6,20.8,49.5
1999,92,"092","Altstetten",0,"00","Grundtarif",33.5,18.4,49.5
